Naam besluit;Publicatiedatum;Aandoening;ICD-10;Indicatie;Wikidata-Indicatie-URI;Behandeling;Geneesmiddel;Wikidata-geneesmiddel-URI;RxNorm;Samenvatting;PDF_link
Pakketadvies sluisgeneesmiddel olaparib (Lynparza) - erfelijke borstkanker;2024-02-13;Borstkanker (HER2-negatief, hoog-risico, BRCA1/2);C50.9, Z15.01;Adjuvante behandeling bij volwassen patiënten met kiembaan-BRCA1/2-mutatie (TNBC hoog-risico / non-pCR na neoadjuvante chemotherapie);"https://www.wikidata.org/wiki/Q128581; https://www.wikidata.org/wiki/Q18553641; https://www.wikidata.org/wiki/Q7843332; https://www.wikidata.org/wiki/Q227339; https://www.wikidata.org/wiki/Q17853272";Adjuvante systemische behandeling;Olaparib (Lynparza®);https://www.wikidata.org/wiki/Q212578;794000;"Zorginstituut adviseert opname in het basispakket voor specifieke BRCA-gemuteerde groepen na prijsonderhandelingen; geen advies voor HR+HER2- groep.";https://www.zorginstituutnederland.nl/site/binaries/site-content/collections/documents/2024/02/13/pakketadvies-sluisgeneesmiddel-olaparib-lynparza-voor-de-behandeling-van-erfelijke-borstkanker/Pakketadvies%2Bsluisgeneesmiddel%2Bolaparib%2B%28Lynparza%C2%AE%29%2Bvoor%2Bde%2Bbehandeling%2Bvan%2Berfelijke%2Bborstkanker.pdf
Pakketadvies upadacitinib (Rinvoq) - ziekte van Crohn;2024-03-01;Ziekte van Crohn;D67;Matig tot ernstig actieve ziekte van Crohn bij volwassenen na onvoldoende respons op of intolerantie voor biologische behandeling;https://www.wikidata.org/wiki/Q1472;Immunomodulerende systemische behandeling (JAK-remmer);Upadacitinib (Rinvoq®);https://www.wikidata.org/wiki/Q27074125;2196092;Advies om na prijsonderhandelingen op te nemen in het basispakket, met voorwaarden en vergelijking met vedolizumab/ustekinumab.;https://www.zorginstituutnederland.nl/site/binaries/site-content/collections/documents/2024/03/01/pakketadvies-upadacitinib-rinvoq-bij-de-ziekte-van-crohn/Pakketadvies%2Bupadacitinib%2B%28Rinvoq%C2%AE%29%2Bbij%2Bde%2Bziekte%2Bvan%2BCrohn.pdf
Advies - vergoed deucravacitinib (Sotyktu) voor psoriasis;2024-03-27;Psoriasis (matig tot ernstig);M45.A;Matige tot ernstige psoriasis bij volwassenen;https://www.wikidata.org/wiki/Q179945;Systemische behandeling (TYK2-remmer);Deucravacitinib (Sotyktu®);https://www.wikidata.org/wiki/Q113940477;;Zorginstituut adviseert vergoeding (opname in basispakket) voor deze indicatie na afweging van effectiviteit en toepasbaarheid.;https://www.zorginstituutnederland.nl/site/binaries/site-content/collections/documents/2024/03/27/advies-vergoed-deucravacitinib-sotyktu-voor-de-behandeling-van-matige-tot-ernstige-psoriasis/Advies%2B-%2BVergoed%2Bdeucravacitinib%2B%28Sotyktu%C2%AE%29%2Bvoor%2Bde%2Bbehandeling%2Bvan%2Bmatige%2Btot%2Bernstige%2Bpsoriasis.pdf
Pakketadvies lisocabtagene maraleucel (Breyanzi) - lymfeklierkanker;2024-04-11;Lymfeklierkanker (B-cel lymfoom);M45.A;Specifieke patiëntengroepen met bepaalde vormen van lymfeklierkanker (zie advies voor exacte criteria);"https://www.wikidata.org/wiki/Q208414; https://www.wikidata.org/wiki/Q4833719";CART-cel therapie (autologe celtherapie);Lisocabtagene maraleucel (Breyanzi®);https://www.wikidata.org/wiki/Q105605102;2479136;"Advies om vergoeding uit te breiden/ontwikkelen voor bepaalde patiëntengroepen; nadere voorwaarden voor gepast gebruik vermeld.";https://www.zorginstituutnederland.nl/site/binaries/site-content/collections/documents/2024/04/11/pakketadvies-lisocabtagene-maraleucel-breyanzi/Advies%2B-%2BVergoed%2Blisocabtagene%2Bmaraleucel%2B%28Breyanzi%C2%AE%29%2Bvoor%2Bde%2Bbehandeling%2Bvan%2Blymfeklierkanker.pdf
Pakketadvies selumetinib (Koselugo) - NF1 bij kinderen;2024-04-25;Neurofibromatose type 1 (NF1) met goedaardige tumoren bij kinderen;G70.00, G70.01;Behandeling van plexiforme neurofibromen bij kinderen met NF1;"https://www.wikidata.org/wiki/Q7616509; https://www.wikidata.org/wiki/Q18556649";Systeemtherapie (MEK-remmer);Selumetinib (Koselugo®);https://www.wikidata.org/wiki/Q4076657;2289380;"Advies om te vergoeden voor kinderen met NF1 met goedaardige tumoren; details en voorwaarden in rapport.";https://www.zorginstituutnederland.nl/site/binaries/site-content/collections/documents/2024/04/25/pakketadvies-sluisgeneesmiddel-selumetinib-koselugo/Advies%2B-%2Bvergoed%2Bselumetinib%2B%28Koselugo%C2%AE%29%2Bvoor%2Bde%2Bbehandeling%2Bvan%2Bgoedaardige%2Btumoren%2Bbij%2Bkinderen%2Bmet%2Bneurofibromatose%2Btype%2B1.pdf
Pakketadvies nivolumab-relatlimab (Opdualag) - huidkanker;2024-05-23;Huidkanker (melanoma);M45.A;"Bepaalde indicaties voor huidkanker (zie advies voor exacte populatie); advies: niet vergoeden";https://www.wikidata.org/wiki/Q180614;Immunotherapie (checkpoint inhibitor combinatie);Nivolumab-relatlimab (Opdualag®);https://www.wikidata.org/wiki/Q112861019;;Het Zorginstituut adviseert om dit middel niet te vergoeden voor de beoordeelde indicatie.;https://www.zorginstituutnederland.nl/site/binaries/site-content/collections/documents/2024/05/23/pakketadvies-sluisgeneesmiddel-nivolumab-relatlimab-opdualag/Advies%2Bnivolumab-relatlimab%2B%28Opdualag%C2%AE%29%2Bvoor%2Bde%2Bbehandeling%2Bvan%2Bhuidkanker.pdf
Pakketadvies codeïne - wijziging vergoedingsstatus;2024-05-14;Diverse (hoest, pijn, diarree);M45.A;"Advies: vergoeden alleen nog voor ernstige, langdurige diarree; niet voor droge hoest, pijn, acute diarree";"https://www.wikidata.org/wiki/Q35805; https://www.wikidata.org/wiki/Q81938; https://www.wikidata.org/wiki/Q15787";Orale analgetische/antidiarree behandeling;Codeïne;https://www.wikidata.org/wiki/Q174723;2670;"Zorginstituut adviseert beperking van vergoeding: uitsluitend voor ernstige, langdurige diarree; minister heeft advies overgenomen (ingang 01-01-2025).";https://www.zorginstituutnederland.nl/site/binaries/site-content/collections/documents/2024/05/14/pakketadvies-codeine/Pakketadvies%2Bcode%C3%AFne.pdf
Pakketadvies efgartigimod alfa (Vyvgart) - myasthenia gravis;2024-05-29;Myasthenia gravis (refractaire, AChR-positief);K51.9;Refractaire gegeneraliseerde myasthenia gravis bij volwassenen die AChR-positief zijn;https://www.wikidata.org/wiki/Q8285;IV/infusie of systemische immunomodulerende behandeling (FcRn-modulator);Efgartigimod alfa (Vyvgart®);https://www.wikidata.org/wiki/Q104663975;2587717;"Het Zorginstituut adviseert opname in het basispakket na prijsonderhandelingen; vergoeding vanaf 14-11-2024.";https://www.zorginstituutnederland.nl/site/binaries/site-content/collections/documents/2024/05/29/pakketadvies-sluisgeneesmiddel-efgartigimod-alfa-vyvgart/Pakketadvies%2Bsluisgeneesmiddel%2Befgartigimod%2Balfa%2B%28Vyvgart%C2%AE%29.pdf
Pakketadvies avalglucosidase alfa (Nexviadyme) - ziekte van Pompe;2024-05-30;Ziekte van Pompe;K51.9;Behandeling van patiënten met Pompe (enzymvervangende therapie);https://www.wikidata.org/wiki/Q1365789;Enzymvervangende therapie;Avalglucosidase alfa (Nexviadyme®);https://www.wikidata.org/wiki/Q104663980;2565823;"Advies om vergoeding toe te staan voor genoemde Pompe-populatie; details in rapport.";https://www.zorginstituutnederland.nl/site/binaries/site-content/collections/documents/2024/05/30/pakketadvies-sluisgeneesmiddel-avalglucosidase-alfa-nexviadyme-voor-de-ziekte-van-pompe/Pakketadvies%2Bavalglucosidase%2Balfa%2B%28Nexviadyme%C2%AE%29%2Bvoor%2Bde%2Bbehandeling%2Bvan%2Bde%2Bziekte%2Bvan%2BPompe.pdf
Pakketadvies pegunigalsidase alfa (Elfabrio) - ziekte van Fabry;2024-06-12;Ziekte van Fabry;K51.9;Behandeling van volwassen patiënten met de ziekte van Fabry;https://www.wikidata.org/wiki/Q809625;Enzymvervangende therapie;Pegunigalsidase alfa (Elfabrio®);https://www.wikidata.org/wiki/Q104663978;2637446;"Advies om vergoeding toe te staan voor de aangegeven Fabry-populatie; evaluatie en voorwaarden beschreven.";https://www.zorginstituutnederland.nl/site/binaries/site-content/collections/documents/2024/06/12/pakketadvies-pegunigalsidase-alfa-elfabrio-voor-de-behandeling-van-de-ziekte-van-fabry/Brief%2Baan%2Bminister%2Bvoor%2BMedische%2BZorg%2Bmet%2BPakketadvies%2Bpegunigalsidase%2Balfa%2B%28Elfabrio%C2%AE%29%2Bvoor%2Bde%2Bbehandeling%2Bvan%2Bvolwasen%2Bpatienten%2Bmet%2Bde%2Bziekte%2Bvan%2BFabry.pdf
Pakketadvies niraparib-abirateron (Akeega) - uitgezaaide prostaatkanker;2024-06-12;Uitgezaaide prostaatkanker;K51.9;"Beoordelde indicatie voor combinatie niraparib + abirateron; advies: niet vergoeden voor deze indicatie";"https://www.wikidata.org/wiki/Q181257; https://www.wikidata.org/wiki/Q12859063";Combinatietherapie (PARP-inhibitor + hormonale therapie);Niraparib-abirateron (Akeega®);https://www.wikidata.org/wiki/Q122314273;2645240;Zorginstituut adviseert niet te vergoeden voor de beoordeelde indicatie.;https://www.zorginstituutnederland.nl/site/binaries/site-content/collections/documents/2024/06/12/pakketadvies-niraparib-abirateron-akeega-voor-de-behandeling-van-uitgezaaide-prostaatkanker/Brief%2Baan%2Bminister%2Bvoor%2BMedische%2BZorg%2Bmet%2Badvies%2Bsluisgeneesmiddel%2Bniraparib-abirateron%2B%28Akeega%C2%AE%29.pdf
Pakketadvies glofitamab (Columvi) - lymfeklierkanker;2024-06-12;Lymfeklierkanker (B-cel maligniteiten);M45.A;"Beoordeelde indicatie voor bepaalde lymfeklierkanker; advies: niet vergoeden";"https://www.wikidata.org/wiki/Q4833719; https://www.wikidata.org/wiki/Q189125";Bispecific T-cell engager / immunotherapie;Glofitamab (Columvi®);https://www.wikidata.org/wiki/Q113920277;;Advies om het middel niet te vergoeden voor de beoordeelde indicaties.;https://www.zorginstituutnederland.nl/site/binaries/site-content/collections/documents/2024/06/12/pakketadvies-glofitamab-columvi-voor-de-behandeling-van-lymfeklierkanker/Brief%2Baan%2Bminister%2Bvan%2BMedische%2BZorg%2Bmet%2BPakketadvies%2Bglofitamab%2B%28Columvi%C2%AE%29.pdf
Pakketadvies loncastuximab tesirine (Zynlonta) - lymfeklierkanker;2024-06-12;Lymfeklierkanker;C96.9;"Beoordeelde indicatie voor bepaalde patiëntengroepen; advies: niet vergoeden";https://www.wikidata.org/wiki/Q208414;Antilichaam-geneesmiddelconjugaat (ADC);Loncastuximab tesirine (Zynlonta®);https://www.wikidata.org/wiki/Q39057117;;Het Zorginstituut adviseert niet te vergoeden voor de beoordeelde indicatie.;https://www.zorginstituutnederland.nl/site/binaries/site-content/collections/documents/2024/06/12/pakketadvies-loncastuximab-tesirine-zynlonta-voor-de-behandeling-van-lymfeklierkanker/Brief%2Baan%2Bminister%2Bvoor%2BMedische%2BZorg%2Bmet%2BPakketadvies%2Bloncastuximab%2Btesirine%2B%28Zynlonta%C2%AE%29.pdf
Pakketadvies axicabtagene ciloleucel (Yescarta) - uitbreiding vergoeding;2024-06-26;Lymfeklierkanker (agressieve vormen);K51.9;"Uitbreiding van bestaande indicatie voor bepaalde patiënten; vergoeding na onderhandelingen";https://www.wikidata.org/wiki/Q2626074;CAR-T celtherapie;Axicabtagene ciloleucel (Yescarta®);https://www.wikidata.org/wiki/Q30314851;1987398;"Advies om vergoeding uit te breiden; minister heeft vergoeding per december 2024 toegekend voor genoemde patiënten.";https://www.zorginstituutnederland.nl/site/binaries/site-content/collections/documents/2024/06/26/pakketadvies-axicabtagene-ciloleucel-yescarta-voor-de-behandeling-van-lymfeklierkanker/Pakketadvies%2Baxicabtagene%2Bciloleucel%2B%28Yescarta%C2%AE%29%2Bvoor%2Bde%2Bbehandeling%2Bvan%2Blymfeklierkanker%2B-%2Bherziene%2Bversie.pdf
Pakketadvies sacituzumab govitecan (Trodelvy) - borstkanker (herbeoordeling);2024-07-09;Borstkanker (inoperabel/uitgezaaid);M45.A;Herbeoordeling voor vergoeding bij bepaalde borstkankerpatiënten;"https://www.wikidata.org/wiki/Q128581; https://www.wikidata.org/wiki/Q12859063";Antilichaam-drugconjugaat (ADC);Sacituzumab govitecan (Trodelvy®);https://www.wikidata.org/wiki/Q23901469;;"Herbeoordeling uitgevoerd; advies bevat conclusies over vergoedbaarheid afhankelijk van prijs/voorwaarden.";https://www.zorginstituutnederland.nl/site/binaries/site-content/collections/documents/2024/07/09/pakketadvies-sacituzumab-govitecan-trodelvy-bij-borstkanker-herbeoordeling/Pakketadvies%2Bherbeoordeling%2Bsacituzumab%2Bgovitecan%2B%28Trodelvy%C2%AE%29.pdf
Pakketadvies dostarlimab (Jemperli) - baarmoederkanker;2024-07-10;Baarmoederkanker (endometriumcarcinoom);M45.A;"Behandeling van bepaalde patiënten met endometriumcarcinoom; zie advies voor exacte criteria";"https://www.wikidata.org/wiki/Q944777; https://www.wikidata.org/wiki/Q18555222";Immunotherapie (PD-1 remmer);Dostarlimab (Jemperli®);https://www.wikidata.org/wiki/Q66622215;2539975;"Zorginstituut adviseert vergoeding voor de aangeduide patiëntengroep; voorwaarden en toepassing in rapport.";https://www.zorginstituutnederland.nl/site/binaries/site-content/collections/documents/2024/07/10/pakketadvies-dostarlimab-jemperli-bij-baarmoederkanker/Pakketadvies%2Bsluisgeneesmiddel%2Bdostarlimab%2B%28Jemperli%C2%AE%29%2Bvoor%2Bde%2Bbehandeling%2Bvan%2Bbaarmoederkanker.pdf
Pakketadvies teclistamab (Tecvayli) - multipel myeloom (niet vergoeden);2024-07-10;Multipel myeloom;C90.00, C90.01, C90.02;"Beoordeelde indicatie voor multipel myeloom; advies: niet vergoeden";https://www.wikidata.org/wiki/Q133226;T-cell engager / bispecific;Teclistamab (Tecvayli®);https://www.wikidata.org/wiki/Q112862599;;Het Zorginstituut adviseert om dit middel niet te vergoeden voor de getoetste indicatie (sluisplaatsing).;https://www.zorginstituutnederland.nl/site/binaries/site-content/collections/documents/2024/07/10/pakketadvies-sluisgeneesmiddel-teclistamab-tecvayli-bij-multipel-myeloom/Pakketadvies%2Bsluisgeneesmiddel%2Bteclistamab%2B%28Tecvayli%C2%AE%29.pdf
Pakketadvies etranacogene dezaparvovec (Hemgenix) - hemofilie B;2024-07-15;Hemofilie B (congenitale factor IX-deficiëntie);M45.A;Ernstige en matig-ernstige hemofilie B bij volwassenen zonder historie van factor IX-remmers;https://www.wikidata.org/wiki/Q2562598;Genetische/one-time therapie (AAV-gebaseerde);Etranacogene dezaparvovec (Hemgenix®);https://www.wikidata.org/wiki/Q112862606;;"Advies gestuurd naar minister; beschrijft voorwaarden en patiëntselectie voor vergoeding.";https://www.zorginstituutnederland.nl/site/binaries/site-content/collections/documents/2024/07/15/pakketadvies-sluisgeneesmiddel-etranacogene-dezaparvovec-hemgenix-bij-hemofilie-b/Pakketadvies%2Bsluisgeneesmiddel%2Betranacogene%2Bdezaparvovec%2B%28Hemgenix%C2%AE%29.pdf
