IRI	Type	Label	Dutch label	Description	Superclass	Close match
ID	TYPE	LABEL	AL rdfs:label@nl	A rdfs:comment	SC % SPLIT=|	AI closeMatch
fpr-o:PackageStatement	class	Package Statement	Pakket uitspraak	The official determination by the Dutch Health Care Institute regarding the content of the standard health insurance package (basisverzekering) that defines the boundaries of what should be collectively insured and what should not.		
fpr-o:IICAssessment	class	Intervention-Indication Combination Assessment	Interventie-Indicatie Combinatie Beoordeling	Grouping of all evaluations related to one Intervention-Indication Combination in the context of a Package Statement		
fpr-o:EMSMP	class	Established Medical Science and Medical Practice	Stand van de Wetenschap en Praktijk	Section of a Package Statement that evaluates whether the Intervention conforms to Established Medical Science and Medical Practice in relation to the Indication.		
fpr-o:LiteratureSearch	class	Literature Search	Literatuuronderzoek	Execution of a search for relevant literature/evidence in a data source using a particular search query, executed at a particular time.	Activity|SearchAction	Literature search
fpr-o:SystematicLiteratureReview	class	Systematic Literature Review	Systematisch Literatuur Onderzoek	Search for evidence (literature) in the context of a Package Statement, and listing of filtered results	Activity	SystematicReview
fpr-o:LiteratureReferenceList	class	Literature Reference List	Literatuur referenties lijst	Filtered (literature) results that resulted from literature searches and cleaning/evaluation of each result	ItemList|prov:Collection	
fpr-o:Scenario	class	Scenario	Scenario	Possible financial situation that is evaluated in the context of a BIA		
fpr-o:BIA	class	Budget Impact Analysis	Budget Impact Analyze	Economic evaluation that maps the expected change in (total) expenditures resulting from the implementation of new care (intervention, process) or the de-implementation of existing care, and focuses on whether the implementation is actually financeable		
fpr-o:CostEffectiveness	class	Cost-Effectiveness	Kosteneffectiviteit	A type of economic evaluation that compares the relative costs and health outcomes of two or more alternative interventions to determine which one provides the greatest health benefit for a given cost, often expressed as the Incremental Cost-Effectiveness Ratio (ICER)		
fpr-o:ManagedEntryAgreement	class	Managed Entry Agreement	Beheerde toetredingsovereenkomst	Formal, negotiated contract between a health technology provider and a payer (like a national health system) that provides conditional access and reimbursement for a health technology, specifically addressing and mitigating uncertainty about its real-world performance or budget impact		
fpr-o:AppropriateUseAgreement	class	Appropriate Use Agreement	Gepast gebruik afspraak	A mechanism or agreement, often a managed entry or risk-sharing scheme, that links a new technology's funding or reimbursement to its actual use in a specific patient population or clinical setting, typically to manage clinical or financial uncertainty or to ensure cost-effective utilization		
fpr-o:PackageType	class	Package Type	Pakket type	Type of the package statement, i.e. point-of-view or advice		
fpr-o:PackageTypeMedicationSubtype	class	Package Type Medication Subtype	Pakket type medicatie subtype	In case of medication, the subtype of the package statement, which can be lock procedure drug		
fpr-o:EditorialStatus	class	Editorial Status	Redactionele status	Editorial status of a package type, such as definitive		
fpr-o:AssessmentType	class	Assessment Type	Beoordelingstype	Type of assessment of a intervention-indication combination evaluation, such as initial assessment or reassessment		
fpr-o:EvaluationOutcome	class	Evaluation Outcome	Beoordelingsuitkomst	Relative outcome of a comparison or evaluation, such as positive or negative		
fpr-o:CostType	class	Cost type	Kostentype	Indicator of a cost type in the context of a BIA, such as the cost in the current situation, or the additional care costs when a substitute is reimbursed		
